AQF.AX,N/A,1.79
AQG.AX,1.02B,3.50
AQH.AX,N/A,N/A
AQI.AX,7.49M,0.13
AQJ.AX,765718.06,0.001
AQM.AX,N/A,N/A
AQQ.AX,12.85M,0.028
AQS.AX,12.03M,0.065
AQU.AX,N/A,0.10
AQX.AX,9.45M,0.049
AQZ.AX,53.24M,0.44
AR1.AX,3.51M,0.016
ARA.AX,67.98M,0.335
ARB.AX,1.27B,16.09
ARC.AX,4.55M,0.51
ARD.AX,8.95M,0.035
ARE.AX,8.88M,0.02
ARF.AX,465.03M,2.02
ARG.AX,4.87B,7.19
ARH.AX,N/A,0.005
ARI.AX,64.50M,0.022
ARK.AX,N/A,N/A
ARM.AX,5.72M,0.049
ARO.AX,772555.00,0.007
ARS.AX,6.15M,0.13
ARU.AX,22.06M,0.05
ARV.AX,3.66M,0.001
ARW.AX,N/A,0.145
ARX.AX,1.19M,0.001
ASB.AX,509.33M,1.465
ASH.AX,31.50M,0.21
ASL.AX,135.84M,0.435
ASN.AX,3.44M,0.03
ASP.AX,6.52M,0.009
AST.AX,5.79B,1.65
ASW.AX,26.08M,0.61
ASX.AX,8.53B,44.11
ASY.AX,720104.00,0.022
ASZ.AX,216.91M,1.06
ATA.AX,3.14M,0.032
ATB.AX,N/A,N/A
ATC.AX,16.57M,0.11
ATI.AX,N/A,0.175
ATM.AX,N/A,1.25
ATP.AX,12.44M,0.03
ATR.AX,24.50M,0.20
ATU.AX,130.66M,0.69
AUB.AX,591.59M,9.35
AUC.AX,16.20M,0.059
AUF.AX,N/A,1.24
AUI.AX,783.15M,7.15
AUK.AX,4.11M,0.013
AUP.AX,12.42M,5.64
AUQ.AX,15.18M,0.03
AUZ.AX,13.35M,0.013
AVB.AX,152.33M,0.062
AVD.AX,2.00M,0.028
AVG.AX,130.97M,0.565
AVH.AX,66.59M,0.125
AVI.AX,4.66M,0.014
AVJ.AX,200.39M,0.525
AVL.AX,6.85M,0.009
AVN.AX,N/A,2.20
AVQ.AX,41.02M,0.155
AVX.AX,1.03M,0.021
AVZ.AX,5.85M,0.012
AWC.AX,3.86B,1.34
AWE.AX,405.59M,0.77
AWI.AX,33.27M,0.30
AWN.AX,69.59M,0.44
AWQ.AX,51.00B,1.06
AWV.AX,35.74M,0.11
AWW.AX,N/A,N/A
AWY.AX,8.81M,0.002
AXE.AX,8.90M,0.105
AXI.AX,20.67M,0.05
AXJ.AX,N/A,N/A
AXP.AX,188.04M,0.89
AXT.AX,13.31M,0.078
AXZ.AX,31.75M,0.30
AYA.AX,15.65M,0.18
AYB.AX,7.20M,0.026
AYC.AX,11.46M,0.025
AYD.AX,48.49B,53.61
AYF.AX,N/A,5.73
AYG.AX,2.56M,0.001
AYH.AX,34.67B,81.55
AYI.AX,10.81M,0.001
AYJ.AX,71.28B,73.00
AYK.AX,55.16B,55.39
AYM.AX,2.18M,0.003
AYR.AX,8.30M,0.014
AYS.AX,323.26M,1.835
AYU.AX,N/A,N/A
AYZ.AX,75.19B,74.37
AZJ.AX,9.38B,4.48
AZM.AX,26.65M,0.061
AZS.AX,52.31M,0.042
AZV.AX,12.90M,0.068
AZY.AX,14.84M,0.026
AZZ.AX,N/A,0.50
BAF.AX,135.60B,1.06
BAL.AX,1.13B,11.68
BAP.AX,1.19B,4.88
BAR.AX,25.01M,0.067
BAS.AX,1.61M,0.002
BAU.AX,24.41M,0.105
BBG.AX,272.78M,1.38
BBL.AX,34.80M,0.355
BBN.AX,298.90M,2.38
BBR.AX,239.36M,0.075
BBX.AX,4.80M,0.023
BCD.AX,N/A,0.035
BCG.AX,N/A,N/A
BCI.AX,31.39M,0.16
BCK.AX,209.55M,0.025
BCN.AX,5.98M,0.004
BCT.AX,3.61M,0.02
BDI.AX,2.54M,0.001
BDR.AX,243.59M,0.305
BEG.AX,N/A,N/A
BEL.AX,9.76M,0.13
BEN.AX,4.44B,9.67
BFC.AX,154.38M,0.425
BFG.AX,141.95M,0.54
BGA.AX,961.39M,6.30
BGC.AX,6.65M,0.063
BGD.AX,3.95M,0.038
BGG.AX,52.39M,0.059
BGH.AX,N/A,0.023
BGL.AX,102.01M,0.58
BGR.AX,741978.00,0.002
BGS.AX,35.74M,0.385
BHP.AX,96.86B,18.20
BIG.AX,9.91M,0.14
BIQ.AX,50.57B,0.60
BIS.AX,18.96M,0.43
BIT.AX,20.31M,0.065
BKI.AX,896.84M,1.577
BKL.AX,3.13B,181.64
BKM.AX,1.50M,0.001
BKN.AX,222.34M,1.30
BKP.AX,2.23M,0.001
BKT.AX,14.15M,0.053
BKW.AX,2.26B,15.22
BKY.AX,114.54M,0.63
BLA.AX,399.69M,7.07
BLD.AX,5.03B,6.77
BLG.AX,80.56M,0.25
BLK.AX,98.87M,0.49
BLT.AX,16.12M,0.11
BLX.AX,355.00M,1.65
BLY.AX,92.91M,0.10
BLZ.AX,3.35M,0.054
BMG.AX,703142.00,0.011
BMH.AX,24.85M,0.20
BML.AX,1.30M,0.002
BMN.AX,23.16M,0.033
BMP.AX,2.99M,0.39
BMZ.AX,N/A,0.006
BND.AX,N/A,0.084
BNE.AX,1.04M,0.008
BNO.AX,146.67M,0.305
BNR.AX,10.62M,0.061
BNV.AX,N/A,0.008
BOA.AX,6.56M,0.145
BOC.AX,88.23M,0.22
BOE.AX,38.46M,0.045
BOK.AX,N/A,0.19
BOL.AX,32.29M,0.068
BOP.AX,5.49B,0.41
BOQ.AX,4.25B,11.32
BPA.AX,316.24B,6.45
BPB.AX,N/A,N/A
BPF.AX,62.07M,0.40
BPG.AX,N/A,0.001
BPH.AX,1.65M,0.007
BPL.AX,11.18M,0.09
BPS.AX,49.15M,0.84
BPT.AX,846.87M,0.65
BRB.AX,12.41M,0.15
BRC.AX,20.18M,0.135
BRD.AX,4.68M,0.003
BRG.AX,1.05B,8.07
BRK.AX,3.60M,0.009
BRL.AX,13.50M,0.014
BRN.AX,97.28M,0.145
BRO.AX,N/A,0.002
BRS.AX,758.12M,1.48
BRU.AX,73.10M,0.215
BSA.AX,102.34M,0.242
BSE.AX,33.83M,0.06
BSL.AX,3.21B,5.62
BSM.AX,4.60M,0.01
BSN.AX,1.97M,0.005
BSP.AX,1.59M,0.003
BSR.AX,33.35M,0.021
BST.AX,14.44M,0.89
BTC.AX,16.27M,0.165
BTI.AX,68.08M,1.09
BTN.AX,N/A,0.006
BTT.AX,2.44B,9.23
BUA.AX,N/A,N/A
BUD.AX,761535.00,0.135
