"STA.AX",6.48M,0.005
"STL.AX",3.46M,0.045
"STO.AX",7.35B,4.16
"STW.AX",N/A,49.6400
"STX.AX",95.83M,0.115
"SUD.AX",27.37M,0.024
"SUH.AX",404548.00,0.019
"SUL.AX",1.85B,9.36
"SUM.AX",31.17M,0.044
"SUN.AX",16.26B,12.72
"SUR.AX",5.44M,0.001
"SVA.AX",3.90M,0.04
"SVL.AX",9.42M,0.002
"SVM.AX",10.68M,0.075
"SVS.AX",N/A,0.24
"SVW.AX",1.64B,5.83
"SVY.AX",14.75M,0.155
"SWE.AX",5.93M,0.037
"SWJ.AX",15.19M,0.01
"SWK.AX",31.41M,0.145
"SWL.AX",58.13M,0.655
"SWM.AX",1.78B,1.18
"SWR.AX",2.71M,0.042
"SXA.AX",6.17M,0.035
"SXB.AX",N/A,N/A
"SXE.AX",74.41M,0.47
"SXI.AX",5.31B,0.017
"SXL.AX",925.95M,1.205
"SXS.AX",1.29B,0.019
"SXX.AX",3.23M,0.003
"SXY.AX",270.88M,0.235
"SYA.AX",26.38M,0.051
"SYD.AX",15.96B,7.16
"SYR.AX",1.22B,5.26
"SYS.AX",581440.00,0.001
"SZG.AX",1.26B,0.005
"TAG.AX",4.72M,0.038
"TAH.AX",3.54B,4.28
"TAM.AX",49.35M,0.042
"TAP.AX",24.47M,0.095
"TAR.AX",802240.06,0.032
"TAS.AX",64.12M,0.185
"TAU.AX",5.95M,0.18
"TAW.AX",1.84M,0.025
"TBH.AX",19.75M,0.205
"TBR.AX",327.52M,6.55
"TCH.AX",230.76M,2.02
"TCL.AX",24.69B,12.17
"TCN.AX",15.30M,0.068
"TCO.AX",13.70M,1.025
"TDL.AX",N/A,0.20
"TDO.AX",8.55M,0.036
"TDX.AX",1.02M,0.001
"TEG.AX",3.35M,0.001
"TEN.AX",374.49M,1.01
"TER.AX",7.20M,0.003
"TES.AX",N/A,N/A
"TEX.AX",1.03M,0.001
"TFC.AX",528.24M,1.54
"TFG.AX",17.43M,0.30
"TFL.AX",13.07M,0.245
"TGA.AX",210.46M,1.385
"TGG.AX",300.84M,1.205
"TGH.AX",540.98B,1.52
"TGN.AX",8.71M,0.04
"TGP.AX",215.40M,0.95
"TGR.AX",606.48M,4.12
"TGS.AX",68.29M,0.046
"TGZ.AX",444.96M,1.135
"THO.AX",N/A,0.006
"THR.AX",4.54M,0.001
"THX.AX",15.97M,0.05
"TIA.AX",69.09M,0.99
"TIG.AX",26.88M,0.03
"TIX.AX",595.60B,2.81
"TKF.AX",894675.06,0.075
"TKG.AX",N/A,0.003
"TKL.AX",7.21M,0.032
"TLG.AX",38.03M,0.26
"TLM.AX",60.17M,0.405
"TLS.AX",69.12B,5.68
"TME.AX",1.71B,4.30
"TMK.AX",9.80M,0.005
"TML.AX",22.90B,0.245
"TMM.AX",21.90M,1.20
"TMP.AX",21.79M,0.36
"TMX.AX",6.14M,0.015
"TMZ.AX",3.53M,0.037
"TNB.AX",N/A,N/A
"TND.AX",5.73M,0.035
"TNE.AX",1.60B,5.16
"TNF.AX",N/A,N/A
"TNG.AX",96.46M,0.135
"TNH.AX",N/A,N/A
"TNJ.AX",N/A,N/A
"TNK.AX",61.38M,1.55
"TNP.AX",14.73M,0.013
"TNR.AX",12.74M,0.17
"TNT.AX",9.95M,0.195
"TOA.AX",N/A,N/A
"TOE.AX",100.26M,0.05
"TOF.AX",156.82B,2.14
"TOM.AX",6.36M,0.067
"TON.AX",22.97M,0.061
"TOP.AX",93.02M,0.55
"TOT.AX",34.04B,1.11
"TOU.AX",15.42M,0.075
"TOX.AX",403.10M,3.00
"TOZ.AX",N/A,N/A
"TPC.AX",4.50M,0.50
"TPD.AX",2.28M,0.009
"TPE.AX",126.56M,2.46
"TPM.AX",9.63B,11.63
"TPO.AX",22.17M,0.145
"TPP.AX",52.77M,0.27
"TPR.AX",472.81M,0.077
"TPS.AX",9.03M,0.015
"TPW.AX",15.34M,0.145
"TRB.AX",N/A,N/A
"TRC.AX",N/A,N/A
"TRK.AX",N/A,N/A
"TRL.AX",35.19M,0.12
"TRM.AX",2.89M,0.031
"TRP.AX",N/A,N/A
"TRS.AX",365.81M,12.68
"TRY.AX",240.20M,0.72
"TSM.AX",44.87M,0.47
"TSN.AX",49.84M,0.028
"TSV.AX",15.87M,0.019
"TTA.AX",4.37M,0.031
"TTC.AX",142.40M,0.645
"TTE.AX",4.71M,0.007
"TTI.AX",6.89M,0.025
"TTL.AX",N/A,N/A
"TTN.AX",N/A,0.037
"TTS.AX",5.73B,3.94
"TTW.AX",2.87M,0.027
"TUP.AX",82.91M,0.13
